player,is_rookie,yrs_exp,headshot
Bruno Fernando,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png
Dorian Finney-Smith,FALSE,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png
Malachi Flynn,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630201.png
Bryn Forbes,FALSE,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627854.png
Jordan Ford,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630259.png
Trent Forrest,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630235.png
Evan Fournier,FALSE,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png
De'Aaron Fox,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png
Markelle Fultz,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png
Wenyen Gabriel,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629117.png
Daniel Gafford,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png
Danilo Gallinari,FALSE,13,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png
Langston Galloway,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204038.png
Darius Garland,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png
Marcus Garrett,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630585.png
Usman Garuba,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630586.png
Luka Garza,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630568.png
Rudy Gay,FALSE,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200752.png
Paul George,FALSE,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
Taj Gibson,FALSE,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201959.png
Josh Giddey,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630581.png
Harry Giles III,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628385.png
Shai Gilgeous-Alexander,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png
Anthony Gill,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630264.png
Freddie Gillespie,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630273.png
Rudy Gobert,FALSE,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203497.png
Brandon Goodwin,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629164.png
Jordan Goodwin,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630692.png
Aaron Gordon,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png
Eric Gordon,FALSE,13,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png
Devonte' Graham,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png
Jerami Grant,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203924.png
Hassani Gravett,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629755.png
Danny Green,FALSE,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png
Draymond Green,FALSE,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png
JaMychal Green,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203210.png
Jalen Green,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630224.png
Javonte Green,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629750.png
Jeff Green,FALSE,14,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201145.png
Josh Green,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630182.png
Blake Griffin,FALSE,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png
Quentin Grimes,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629656.png
Kyle Guy,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629657.png
Rui Hachimura,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629060.png
Tyrese Haliburton,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630169.png
Johnny Hamilton,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629148.png
R.J. Hampton,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630181.png
Tim Hardaway Jr.,FALSE,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203501.png
James Harden,FALSE,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png
Maurice Harkless,FALSE,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203090.png
Montrezl Harrell,FALSE,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
Gary Harris,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png
Joe Harris,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png
Tobias Harris,FALSE,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png
Shaquille Harrison,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627885.png
Josh Hart,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png
Isaiah Hartenstein,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628392.png
Udonis Haslem,FALSE,18,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2617.png
Sam Hauser,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png
Jaxson Hayes,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629637.png
Killian Hayes,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630165.png
Gordon Hayward,FALSE,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png
